No.;Time;Source;Destination;Protocol;Length;Info;;;;;;;;;;;;;;;time 2;time 1;delay 1;delay 2;jiter
1;0.000000;192.168.43.133;3.235.82.191;TLSv1.2;271;Application Data;;;;;;;;;;;;;;;0.137157;0.000000;;;0
2;0.137157;3.235.82.191;192.168.43.133;TCP;54;443  >  49832 [ACK] Seq=1 Ack=218 Win=6565 Len=0;;;;;;;;;;;;;;;0.444538;0.137157;;;0
3;0.444538;3.235.82.191;192.168.43.133;TLSv1.2;249;Application Data;;;;;;;;;;;;;;;0.499847;0.444538;;;0
4;0.499847;192.168.43.133;3.235.82.191;TCP;54;49832  >  443 [ACK] Seq=218 Ack=196 Win=259 Len=0;;;;;;;;;;;;;;;4.250.168;0.499847;;187730;187730
5;4.250.168;192.168.43.133;3.235.82.191;TLSv1.2;84;Application Data;;;;;;;;;;;;;;;4.437.898;4.250.168;187730;9073158;8885428
6;4.437.898;3.235.82.191;192.168.43.133;TCP;54;443  >  49832 [ACK] Seq=196 Ack=248 Win=6566 Len=0;;;;;;;;;;;;;;;13.511.056;4.437.898;9073158;91133;8982025
10;13.511.056;192.168.43.133;40.90.189.152;TLSv1.2;157;Application Data;;;;;;;;;;;;;;;13.602.189;13.511.056;91133;5120;86013
11;13.602.189;192.168.43.133;172.217.194.188;TCP;55;[TCP segment of a reassembled PDU];;;;;;;;;;;;;;;13.607.309;13.602.189;5120;245;4875
12;13.607.309;40.90.189.152;192.168.43.133;TCP;54;443  >  49755 [ACK] Seq=1 Ack=104 Win=1104 Len=0;;;;;;;;;;;;;;;13.607.554;13.607.309;245;31465;31220
13;13.607.554;40.90.189.152;192.168.43.133;TLSv1.2;227;Application Data;;;;;;;;;;;;;;;13.639.019;13.607.554;31465;10039;21426
14;13.639.019;172.217.194.188;192.168.43.133;TCP;54;5228  >  50352 [ACK] Seq=1 Ack=2 Win=706 Len=0;;;;;;;;;;;;;;;13.649.058;13.639.019;10039;16427477;16417438
15;13.649.058;192.168.43.133;40.90.189.152;TCP;54;49755  >  443 [ACK] Seq=104 Ack=174 Win=257 Len=0;;;;;;;;;;;;;;;30.076.535;13.649.058;16427477;269359;16158118
19;30.076.535;192.168.43.133;3.235.82.191;TLSv1.2;271;Application Data;;;;;;;;;;;;;;;30.345.894;30.076.535;269359;307190;37831
20;30.345.894;3.235.82.191;192.168.43.133;TCP;54;443  >  49832 [ACK] Seq=196 Ack=465 Win=6573 Len=0;;;;;;;;;;;;;;;30.653.084;30.345.894;307190;48039;259151
21;30.653.084;3.235.82.191;192.168.43.133;TLSv1.2;249;Application Data;;;;;;;;;;;;;;;30.701.123;30.653.084;48039;5328146;5280107
22;30.701.123;192.168.43.133;3.235.82.191;TCP;54;49832  >  443 [ACK] Seq=465 Ack=391 Win=258 Len=0;;;;;;;;;;;;;;;36.029.269;30.701.123;5328146;153342;5174804
23;36.029.269;192.168.43.133;74.125.130.188;TCP;55;49788  >  5228 [ACK] Seq=1 Ack=1 Win=255 Len=1;;;;;;;;;;;;;;;36.182.611;36.029.269;153342;13143465;12990123
24;36.182.611;74.125.130.188;192.168.43.133;TCP;54;5228  >  49788 [ACK] Seq=1 Ack=2 Win=757 Len=0;;;;;;;;;;;;;;;49.326.076;36.182.611;13143465;271293;12872172
27;49.326.076;192.168.43.133;3.235.82.191;TLSv1.2;84;Application Data;;;;;;;;;;;;;;;49.597.369;49.326.076;271293;9055960;8784667
28;49.597.369;3.235.82.191;192.168.43.133;TCP;54;443  >  49832 [ACK] Seq=391 Ack=495 Win=6574 Len=0;;;;;;;;;;;;;;;58.653.329;49.597.369;9055960;160324;8895636
